1,A,Agilent Technologies Inc.,Technology,Scientific & Technical Instruments,USA,10017.17
2,AA,Alcoa Inc.,Basic Materials,Aluminum,USA,11274.16
3,AACC,Asset Acceptance Capital Corp.,Financial,Credit Services,USA,134.33
4,AADR,WCM BNY Mellon Focused Growth A,Financial,Exchange Traded Fund,USA,0
5,AAI,AirTran Holdings Inc.,Services,Regional Airlines,USA,630.31
6,AAII,Alabama Aircraft Industries Inc,Industrial Goods,Aerospace/Defense Products & Services,USA,4.87
7,AAME,Atlantic American Corp.,Financial,Life Insurance,USA,26.75
8,AAN,Aaron's Inc.,Services,Specialty Retail Other,USA,1465.01
9,AAON,AAON Inc.,Industrial Goods,General Building Materials,USA,425.6
10,AAP,Advance Auto Parts Inc.,Services,Auto Parts Stores,USA,4689.21
11,AAPL,Apple Inc.,Technology,Personal Computers,USA,238402.61
12,AATI,Advanced Analogic Technologies Inc.,Technology,Semiconductor - Specialized,USA,140.18
13,AAU,Almaden Minerals Ltd.,Basic Materials,Industrial Metals & Minerals,Canada,44.44
14,AAV,Advantage Oil & Gas Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Canada,1043.36
15,AAWW,Atlas Air Worldwide Holdings Inc.,Services,Air Services Other,USA,1510.8
16,AAXJ,iShares MSCI All Country Asia ex Jpn Idx,Financial,Exchange Traded Fund,USA,0
17,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2774.67
18,ABAT,Advanced Battery Technologies Inc.,Industrial Goods,Industrial Electrical Equipment,USA,240.07
19,ABAX,Abaxis Inc.,Healthcare,Diagnostic Substances,USA,413.48
20,ABB,ABB Ltd.,Industrial Goods,Industrial Electrical Equipment,Switzerland,45773.17
21,ABBC,Abington Bancorp Inc.,Financial,Savings & Loans,USA,188.69
22,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,8173.3
23,ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,219.05
24,ABCD,Cambium Learning Group Inc.,Services,Education & Training Services,USA,147.37
25,ABCO,Advisory Board Co.,Services,Research Services,USA,656.28
26,ABCW,Anchor BanCorp Wisconsin Inc.,Financial,Savings & Loans,USA,14.75
27,ABD,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,304.14
28,ABFS,Arkansas Best Corporation,Services,Trucking,USA,568.51
29,ABG,Asbury Automotive Group Inc.,Services,Auto Dealerships,USA,437.27
30,ABII,Abraxis BioScience Inc.,Healthcare,Biotechnology,USA,3011.01
31,ABIO,ARCA biopharma Inc.,Healthcare,Biotechnology,USA,32.51
32,ABK,Ambac Financial Group Inc.,Financial,Surety & Title Insurance,USA,254.78
33,ABL,American Biltrite Inc.,Consumer Goods,Rubber & Plastics,USA,13.31
34,ABM,ABM Industries Inc.,Services,Business Services,USA,1126.15
35,ABMC,American Bio Medica Corp.,Healthcare,Diagnostic Substances,USA,2.17
36,ABMD,Abiomed Inc.,Healthcare,Medical Instruments & Supplies,USA,428.57
37,ABR,Arbor Realty Trust Inc.,Financial,REIT - Diversified,USA,154.66
